key,en,sk
dialogue.ghost_jeff.say_prophet.text,"I hear you're a [color=#a8554c]prophet[/color] now. A [color=#a8554c]prophet[/color] pigeon. Death is full of surprises. Actually, no. It isn't. This is the one surprise.","Počul som, že si teraz [color=#a8554c]prorok[/color]. Holub [color=#a8554c]prorok[/color]. Smrť je plná prekvapení. Teda nie je. Toto je to jediné."
dialogue.ghost_jeff.say_rumor_short.text,[color=#8a6ca8]Mildred[/color] is still going on about the whole 'people know about us' thing.,"[color=#8a6ca8]Mildred[/color] stále ide o tom, že už o nás ľudia vedia."
dialogue.ghost_jeff.say_rumor.text,I heard you're telling people about us. [color=#8a6ca8]Mildred[/color] won't shut up about it. Which is saying something because she never shuts up anyway.,"Počul som, že o nás rozprávaš ľuďom. [color=#8a6ca8]Mildred[/color] o tom nevie prestať hovoriť. A to už niečo znamená, lebo ona nevie prestať hovoriť nikdy."
dialogue.ghost_jeff.say_bye.text,Well. Nice seeing you. That's not something I say often. Or ever.,No. Rád som ťa videl. To nehovorím často. Vlastne nikdy.
dialogue.ghost_jeff.say_intro.text,"Oh. A pigeon. That's... new, I guess. I'm [color=#8a6ca8]Jeff[/color]. I'm dead.","Ach. Holub. To je... nové, asi. Ja som [color=#8a6ca8]Jeff[/color]. Som mŕtvy."
dialogue.ghost_jeff.option_how.label,How did you die?,Ako si zomrel?
dialogue.ghost_jeff.say_pigeon_how.text,So... how did you die? If you don't mind me asking.,"Tak... ako si zomrel? Ak ti nevadí, že sa pýtam."
dialogue.ghost_jeff.say_how_reply.text,Honestly? I forget. It was a long time ago. Might have been the plague. Might have been boredom. Both were going around.,"Úprimne? Nepamätám si. Je to dávno. Možno mor. Možno nuda. Oboje vtedy fičalo."
dialogue.ghost_jeff.option_what.label,What do you do here?,Čo tu robíš?
dialogue.ghost_jeff.say_pigeon_what.text,What do you do here all day? Just... stand around?,Čo tu celý deň robíš? Len... stojíš?
dialogue.ghost_jeff.say_what_reply.text,Stand here. Exist. Watch [color=#8a6ca8]Mildred[/color] try to scare people. That's about it. Death is surprisingly boring.,"Stojím tu. Existujem. Sledujem, ako sa [color=#8a6ca8]Mildred[/color] snaží vystrašiť ľudí. Asi tak. Smrť je prekvapivo nudná."
dialogue.ghost_jeff.say_outro.text,Sounds rough.,To znie dosť zle.
dialogue.ghost_jeff.say_rough.text,It's fine. I wasn't doing much when I was alive either.,"To je v pohode. Ani keď som žil, som toho veľa nerobil."
dialogue.ghost_mildred.say_ending_short.text,I'm a proper [color=#a8554c]ghost[/color] now. The innkeeper still won't come near the [color=#6b8e5e]graveyard[/color]. [i]WONDERFUL.[/i],"Teraz som už ozajstný [color=#a8554c]duch[/color]. Krčmár sa stále neodváži priblížiť ku [color=#6b8e5e]cintorínu[/color]. [i]NÁDHERA.[/i]"
dialogue.ghost_mildred.say_ending_1.text,Wait. Is it true? Someone was actually [i]SCARED[/i]?! Of [i]ME[/i]?!,Počkať. Je to pravda? Niekto sa naozaj [i]ZĽAKOL[/i]?! [i]MŇA[/i]?!
dialogue.ghost_mildred.say_pigeon_yep.text,The innkeeper. He panicked when I told him about you. Completely lost it.,"Krčmár. Keď som mu o tebe povedal, spanikáril. Úplne sa rozsypal."
dialogue.ghost_mildred.say_ending_2.text,[shake rate=30.0 level=20]SOMEONE WAS SCARED OF ME![/shake],[shake rate=30.0 level=20]NIEKTO SA MA ZĽAKOL![/shake]
dialogue.ghost_mildred.say_ending_3.text,"I... I can finally rest in peace. Well, not rest. But exist in peace. With [i]PRIDE[/i].","Ja... konečne môžem odpočívať v pokoji. Teda nie odpočívať. Ale existovať v pokoji. A s [i]HRDOSŤOU[/i]."
dialogue.ghost_mildred.say_pigeon_end.text,"Happy to help, [color=#8a6ca8]Mildred[/color].","Rád som pomohol, [color=#8a6ca8]Mildred[/color]."
dialogue.ghost_mildred.say_jeff_end.text,I'm happy for you. Really. This is my happy face.,Prajem ti to. Naozaj. Toto je moja šťastná tvár.
dialogue.ghost_mildred.say_waiting.text,Have you told anyone about me yet? Anyone scared? Even a little?,Povedal si už o mne niekomu? Niekoho to vystrašilo? Aspoň trošku?
dialogue.ghost_mildred.say_pigeon_working.text,Working on it. Give me some time.,Pracujem na tom. Daj mi chvíľu.
dialogue.ghost_mildred.say_patience.text,I've waited forty years. I can wait a bit longer. ...But please hurry.,"Čakala som štyridsať rokov. Ešte chvíľu vydržím. ...Ale prosím, poponáhľaj sa."
dialogue.ghost_mildred.say_favor.text,Listen... could you do something for me? Tell the [i]LIVING[/i] people about me. Tell them the [color=#6b8e5e]graveyard[/color] is [color=#a8554c]haunted[/color]. I just want one real scare.,"Počuj... mohol by si pre mňa niečo spraviť? Povedz [i]ŽIVÝM[/i] ľuďom o mne. Povedz im, že [color=#6b8e5e]cintorín[/color] je [color=#a8554c]strašidelný[/color]. Chcem len jeden poriadny výkrik."
dialogue.ghost_mildred.option_spread.label,I'll spread the word,Roznesiem to
dialogue.ghost_mildred.say_pigeon_spread.text,Sure. I'll tell people the [color=#6b8e5e]graveyard[/color] is [color=#a8554c]haunted[/color]. Shouldn't be hard.,"Jasné. Poviem ľuďom, že [color=#6b8e5e]cintorín[/color] je [color=#a8554c]strašidelný[/color]. Nemalo by to byť ťažké."
dialogue.ghost_mildred.say_grateful.text,"You would do that?! For [i]ME[/i]?! Oh, you wonderful little bird!","Ty by si to urobil?! Pre [i]MŇA[/i]?! Och, ty nádherný malý vtáčik!"
dialogue.ghost_mildred.option_no.label,That won't work,To nezaberie
dialogue.ghost_mildred.say_pigeon_no.text,I don't think telling people will make them scared. No offense.,"Nemyslím si, že keď im to povieš, tak sa zľaknú. Bez urážky."
dialogue.ghost_mildred.say_sad.text,"None taken. ...A lot taken, actually. But fine.","Bez urážky. ...Vlastne dosť urážky. Ale dobre."
dialogue.ghost_mildred.say_cold.text,Oh. It's you. The one who [i]WASN'T[/i] scared.,"Ach. To si ty. Ten, čo sa [i]NEZĽAKOL[/i]."
dialogue.ghost_mildred.say_pigeon_ghost.text,Still not scared. Sorry.,Stále sa nebojím. Prepáč.
dialogue.ghost_mildred.say_give_up.text,Forty years. Not a single scream. Maybe I'm just not cut out for haunting.,Štyridsať rokov. Ani jeden jediný výkrik. Možno sa na strašenie jednoducho nehodím.
dialogue.ghost_mildred.say_boo.text,[shake rate=30.0 level=20]BOOOOO![/shake] Fear me! I am the [color=#a8554c]terror[/color] of this [color=#6b8e5e]graveyard[/color]!,[shake rate=30.0 level=20]BÚÚÚÚ![/shake] Bojte sa ma! Som [color=#a8554c]postrach[/color] tohto [color=#6b8e5e]cintorína[/color]!
dialogue.ghost_mildred.option_awful.label,That was terrible,To bolo hrozné
dialogue.ghost_mildred.say_pigeon_awful.text,...Was that it? That was really not scary.,...To bolo všetko? To vôbec nebolo strašidelné.
dialogue.ghost_mildred.say_crushed.text,I... forty years. Forty years I've been practicing that. And nothing. Not a single scream.,"Ja... štyridsať rokov. Štyridsať rokov som to trénovala. A nič. Ani jediný výkrik."
dialogue.ghost_mildred.say_pigeon_sorry.text,Sorry. Maybe try jumping out from behind a gravestone next time?,Prepáč. Možno skús nabudúce vyskočiť spoza náhrobku?
dialogue.ghost_mildred.say_tried.text,I [i]HAVE[/i]. They just walk right through me. Literally.,[i]SKÚŠALA SOM.[/i] Len cez mňa vždy prejdú. Doslova.
dialogue.ghost_mildred.option_scream.label,AAAGH!,AAAA!
dialogue.ghost_mildred.say_pigeon_scream.text,[shake rate=30.0 level=20]AAAGH![/shake] A [color=#a8554c]ghost[/color]! Oh no! So scary!,[shake rate=30.0 level=20]AAAA![/shake] [color=#a8554c]Duch[/color]! Och nie! Strašne desivé!
dialogue.ghost_mildred.say_thrilled.text,"Did you hear that, [color=#8a6ca8]Jeff[/color]?! [shake rate=30.0 level=20]SOMEONE SCREAMED![/shake] After [i]FORTY YEARS[/i]!","Počul si to, [color=#8a6ca8]Jeff[/color]?! [shake rate=30.0 level=20]NIEKTO SKRÍKOL![/shake] Po [i]ŠTYRIDSIATICH ROKOCH[/i]!"
dialogue.ghost_mildred.say_jeff_react.text,This is the greatest day of my afterlife!,Toto je najlepší deň môjho posmrtného života!
dialogue.innkeeper_bertram.say_return.text,The pigeon is back! Want a room? I've got a bucket under a table. Very cozy.,"Holub je späť! Chceš izbu? Mám vedro pod stolom. Veľmi útulné."
dialogue.innkeeper_bertram.say_prophet_short.text,Any prophecies about carrots? I really need a carrot day.,Nemáš nejaké proroctvo o mrkve? Ja by som fakt potreboval mrkvový deň.
dialogue.innkeeper_bertram.say_prophet.text,"Wait, you're a [color=#a8554c]PROPHET[/color]? Can you tell me if the stew will be ready by noon? ...It's just water. It's always ready.","Počkať, ty si [color=#a8554c]PROROK[/color]? Vieš mi povedať, či bude guláš hotový do obeda? ...Je to len voda. Tá je hotová stále."
dialogue.innkeeper_bertram.say_pigeon_stew.text,"Yes, [color=#8a6ca8]Bertram[/color]. The water is ready.","Áno, [color=#8a6ca8]Bertram[/color]. Voda je hotová."
dialogue.innkeeper_bertram.say_still_scared_short.text,Still hearing noises. The garlic isn't working.,Stále počujem zvuky. Cesnak nezaberá.
dialogue.innkeeper_bertram.say_still_scared.text,I keep hearing noises from the [color=#6b8e5e]graveyard[/color]. Or maybe it's the wind. Or maybe it's [color=#a8554c]GHOSTS[/color]. I can't sleep!,"Stále počujem zvuky z [color=#6b8e5e]cintorína[/color]. Alebo je to vietor. Alebo [color=#a8554c]DUCHOVIA[/color]. Ja sa nevyspím!"
dialogue.innkeeper_bertram.say_pigeon_sleep.text,"You'll be fine, [color=#8a6ca8]Bertram[/color].","Budeš v poriadku, [color=#8a6ca8]Bertram[/color]."
dialogue.innkeeper_bertram.say_fine.text,Easy for you to say! You can [i]FLY[/i] away!,To sa ti povie ľahko! Ty vieš [i]ODLETIEŤ[/i]!
dialogue.innkeeper_bertram.option_ghosts.label,The graveyard is haunted,Cintorín straší
dialogue.innkeeper_bertram.say_pigeon_ghosts.text,You know the [color=#6b8e5e]graveyard[/color] up by the [color=#6b8e5e]church[/color]? It's [color=#a8554c]haunted[/color]. Actual [color=#a8554c]ghosts[/color]. I talked to them.,"Poznáš ten [color=#6b8e5e]cintorín[/color] pri [color=#6b8e5e]kostole[/color]? Je [color=#a8554c]strašidelný[/color]. Skutoční [color=#a8554c]duchovia[/color]. Rozprával som sa s nimi."
dialogue.innkeeper_bertram.say_panic.text,[shake rate=30.0 level=20]GHOSTS?![/shake] [i]I KNEW[/i] the [color=#6b8e5e]graveyard[/color] was too quiet! That's [i]NOT[/i] normal quiet! That's [color=#a8554c]GHOST[/color] [i]QUIET[/i]!,"[shake rate=30.0 level=20]DUCHOVIA?![/shake] [i]VEDEL SOM TO[/i]! Ten [color=#6b8e5e]cintorín[/color] bol až priveľmi tichý! To nie je [i]NORMÁLNE[/i] ticho! To je [color=#a8554c]DUCHÁRSKE[/color] [i]TICHO[/i]!"
dialogue.innkeeper_bertram.say_pigeon_calm.text,They seemed pretty harmless.,Vyzerali dosť neškodne.
dialogue.innkeeper_bertram.say_no_harmless.text,[i]HARMLESS?![/i] [color=#a8554c]Ghosts[/color] are [i]NEVER[/i] harmless! I'm putting garlic on the door! And the windows! And the stew! ...The stew already has nothing in it so garlic might help actually.,"[i]NEŠKODNÉ?![/i] [color=#a8554c]Duchovia[/color] nie sú [i]NIKDY[/i] neškodní! Dám cesnak na dvere! Aj na okná! Aj do gulášu! ...V guláši už aj tak nič nie je, tak by mu cesnak možno pomohol."
dialogue.innkeeper_bertram.option_nevermind.label,Never mind,Nevadí
dialogue.innkeeper_bertram.say_pigeon_nvm.text,"Actually, never mind. Forget I said anything.","Vlastne nič. Zabudni, že som niečo povedal."
dialogue.innkeeper_bertram.say_ok.text,Said what? I already forgot. ...What were we talking about?,Povedal čo? Už som zabudol. ...O čom sme sa to bavili?
dialogue.innkeeper_bertram.say_bye.text,Come back anytime! The stew is always... here. The stew is always here.,Vráť sa kedykoľvek! Guláš je vždy... tu. Guláš je vždy tu.
dialogue.innkeeper_bertram.say_welcome.text,"Welcome to the [color=#6b8e5e]tavern[/color]! Best stew in [color=#6b8e5e]town[/color]! Well, [i]ONLY[/i] stew in [color=#6b8e5e]town[/color]. But still the best!","Vitaj v [color=#6b8e5e]krčme[/color]! Najlepší guláš v [color=#6b8e5e]meste[/color]! Teda, [i]JEDINÝ[/i] guláš v [color=#6b8e5e]meste[/color]. Ale aj tak najlepší!"
dialogue.innkeeper_bertram.say_pigeon_hi.text,Thanks. What's in the stew?,Vďaka. Čo je v tom guláši?
dialogue.innkeeper_bertram.say_recipe.text,"Water! And sometimes a carrot. Today is a [i]NO CARROT[/i] day, though. So it's extra watery. Very smooth.","Voda! A občas mrkva. Dnes je ale [i]DEŇ BEZ MRKVY[/i]. Takže je ešte vodovejší. Veľmi jemný."
dialogue.innkeeper_bertram.option_water.label,This is just water,Veď to je len voda
dialogue.innkeeper_bertram.say_pigeon_water.text,"[color=#8a6ca8]Bertram[/color], this is just warm water. There's nothing in it.","[color=#8a6ca8]Bertram[/color], to je len teplá voda. Nič v tom nie je."
dialogue.innkeeper_bertram.say_secret.text,Water is the [i]SECRET INGREDIENT[/i]. Most cooks use too much food. I figured out you don't need any!,"Voda je [i]TAJNÁ PRÍSADA[/i]. Väčšina kuchárov dáva priveľa jedla. Ja som prišiel na to, že netreba žiadne!"
dialogue.innkeeper_bertram.say_pigeon_genius.text,That's not how cooking works.,Takto varenie nefunguje.
dialogue.innkeeper_bertram.say_works.text,Then why does everyone keep coming back? ...Nobody comes back. But they [i]COULD[/i]!,A prečo sa potom všetci vracajú? ...Nikto sa nevracia. Ale [i]MOHLI BY[/i]!
dialogue.innkeeper_bertram.option_great.label,Smells great!,Vonia to skvelo!
dialogue.innkeeper_bertram.say_pigeon_great.text,You know what? It smells great. Pour me another bowl.,Vieš čo? Vonia to skvelo. Nalej mi ešte jednu misku.
dialogue.innkeeper_bertram.say_happy.text,"A customer with [i]TASTE[/i]! Here, have a second bowl! Same water, fresh temperature!","Zákazník s [i]VKUSOM[/i]! Tu máš druhú misku! Tá istá voda, nová teplota!"
dialogue.old_lady_agnes.say_return.text,"You came [i]BACK[/i]! Nobody comes back! Oh, this is wonderful!","Ty si sa [i]VRÁTIL[/i]! Nikto sa nevracia! Och, to je úžasné!"
dialogue.old_lady_agnes.say_prophet_short.text,"My knees still ache, by the way. That pigeon blessing hasn't kicked in yet.","Mimochodom, kolená ma stále bolia. To holubie požehnanie ešte nezabralo."
dialogue.old_lady_agnes.say_prophet.text,[color=#8a6ca8]Father Cuthbert[/color] says you're a [color=#a8554c]PROPHET[/color]! Can you bless my knees? They ache something terrible.,"[color=#8a6ca8]Otec Cuthbert[/color] vraví, že si [color=#a8554c]PROROK[/color]! Mohol by si požehnať moje kolená? Bolejú ma hrozne."
dialogue.old_lady_agnes.say_pigeon_knees.text,I don't think pigeon blessings work on knees.,"Nemyslím si, že holubie požehnania fungujú na kolená."
dialogue.old_lady_agnes.say_worth_try.text,Worth a try! Nothing else has worked. Not even the turnip poultice.,Za pokus to stojí! Nič iné nezabralo. Ani obklad z repy.
dialogue.old_lady_agnes.say_ghost_short.text,"I'm still not going near that [color=#6b8e5e]graveyard[/color], mind you.","K tomu [color=#6b8e5e]cintorínu[/color] sa stále nechystám ani priblížiť, len aby bolo jasné."
dialogue.old_lady_agnes.say_ghost.text,[color=#a8554c]Ghosts[/color]?! In the [color=#6b8e5e]graveyard[/color]?! I [i]KNEW[/i] that place was cursed! I am never going near it again. Not that I went near it before.,"[color=#a8554c]Duchovia[/color]?! Na [color=#6b8e5e]cintoríne[/color]?! [i]VEDELA SOM TO[/i]! To miesto bolo prekliate! Už sa tam nikdy nepriblížim. Teda, ak nepočítam, že som sa tam nepribližovala ani doteraz."
dialogue.old_lady_agnes.say_return_bye.text,Come visit whenever you like! I'll be right here. I'm always here. I have nowhere else to go.,Príď sa porozprávať kedykoľvek! Budem presne tu. Ja som vždy tu. Nemám kam inam ísť.
dialogue.old_lady_agnes.say_pigeon_bye.text,That's... a bit sad.,To je... trochu smutné.
dialogue.old_lady_agnes.say_not_sad.text,Not anymore! I have a pigeon [color=#a8554c]friend[/color] now!,Už nie! Teraz mám holubieho [color=#a8554c]priateľa[/color]!
dialogue.old_lady_agnes.say_excited.text,"Oh! [shake rate=30.0 level=20]OH![/shake] Someone is talking to me! Nobody talks to me! Come here, come closer!","Och! [shake rate=30.0 level=20]OCH![/shake] Niekto sa so mnou rozpráva! Nikto sa so mnou nerozpráva! Poď sem, bližšie!"
dialogue.old_lady_agnes.say_pigeon_hi.text,Hello. I'm a pigeon.,Ahoj. Som holub.
dialogue.old_lady_agnes.say_wonderful.text,A [i]TALKING[/i] pigeon! That's the most exciting thing that has happened here in [i]TWENTY YEARS[/i]. Last exciting thing was when [color=#8a6ca8]Bertram[/color] dropped a pot on his foot.,"[i]HOVORIACI[/i] holub! To je tá najvzrušujúcejšia vec, aká sa tu stala za [i]DVADSAŤ ROKOV[/i]. Naposledy bolo vzruchu, keď si [color=#8a6ca8]Bertram[/color] zhodil hrniec na nohu."
dialogue.old_lady_agnes.option_town.label,Tell me about this town,Povedz mi o tomto meste
dialogue.old_lady_agnes.say_pigeon_town.text,So what's this place like? Seems quiet.,Aké je to tu? Zdá sa to pokojné.
